label,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,disease_status
Sample_GSM1317896,231887735.9427588,86665098.3529263,-76256911.27079159,-87150168.52401489,439109255.06966,240651924.6382856,28067876.66734933,126940150.4412271,-304654490.55025977,-18796896.637022536,-226752344.29983965,460415070.60769486,17453499.691693813,101938473.4430814,-238890661.30479616,27908999.557822056,-262816199.26728293,145387778.84191254,243961136.70238733,202678957.55469868,80953449.19846927,100910504.79979561,-479773765.666142,-439472279.4508154,-98553898.8603465,224235269.2011634,257069173.154966,-19481090.55068118,90437549.21098666,-176672630.320891,137768184.1475057,15145047.405116526,60326358.521137245,63086436.968447655,157375172.6548271,92175306.18427326,117217335.16749519,91769634.36261052,-278919212.4414094,93598341.24447827,-218911246.6156777,172681025.51120317,420180431.1321849,-176434171.3157473,71992914.79772533,11690265.910513384,7950042.006719318,-297031416.9641502,80627829.89761406,252886308.01199144,-89276273.22691785,-311934791.9302478,72473188.2562444,-105813584.82499464,389630443.3331362,405063094.5839587,134864332.73651266,53216049.8915129,32461669.38345592,96718365.8074184,-278828762.6915154,52653882.68868315,-22765199.940279633,-30304243.528948385,31461347.275557403,-47171990.06709114,261499483.27901232,41094663.8772408,-681260662.5480944,-174107623.88678715,-73542597.04499222,-168887711.9175896,144721530.3506295,-726966559.1359599,131750785.04287009,64478482.057795,231007472.70525095,-317114648.53683734,-151700148.13825104,-132329446.77980985,61274304.12381303,91981870.04955038,98164318.00685571,-30577374.008010495,80761262.66970348,-176815779.58465648,535993787.15130925,-1519754.588435081,-50193137.65503274,-7103534.65403491,-176918010.15033704,180858356.70878866,221075301.81088367,-29342560.027143266,18499477.127043385,356227688.29674435,-171339323.2981571,192124108.49181604,-1956871.7583650607,-588195227.44911,0
Sample_GSM1317897,190513646.15065476,98654420.12460914,-78386340.73739018,-81953605.70780635,428442387.8663197,253596019.67380887,14696075.231623277,136207020.68983907,-271537824.33522534,-9818203.203675168,-204280231.43353426,410045370.32317287,15688656.568325011,114000511.45180336,-206063159.42095476,31453855.83486537,-240095318.7078802,153399463.9523574,218242968.61714056,205891311.53145117,66938671.27399643,95925398.12540627,-440092034.2365727,-430871264.68620634,-128987236.5513792,193521881.4572251,272649048.2293431,-32640265.52719587,109937959.5867732,-165793811.65261257,157988616.40987173,4486721.047280811,39570549.66077045,58618611.6853935,172834863.9659338,74232745.78296125,110375129.65402615,91547502.21713735,-254693543.27771553,86105252.03344941,-194516665.29730496,173712298.49393475,384046651.77488154,-186314079.56700143,51163649.135387406,-6934793.477083883,-1223124.1772901018,-262384967.90664643,66575165.84779658,259420168.21474695,-100313904.4077853,-289594234.3059184,74632511.47155169,-106803154.62551221,383673550.15214,400095944.2718951,127516083.10402493,34930212.55826079,23571519.328232866,93641653.0236158,-244494410.39179218,71246805.30813943,-22522411.494850244,-24346807.801790856,39883592.1594643,-46288134.65424395,255944834.3481977,40221565.934085585,-660294288.9148281,-149865235.9060527,-83223167.04738513,-165626366.1591005,164038693.47936195,-695009863.2589694,143278691.3667167,83436290.90692113,206252460.6277931,-300961028.12816817,-140982665.56658572,-124495637.01282282,102029165.46940269,79560506.6005169,65693858.69256539,-29829005.176126875,93396409.59672529,-172131661.73053887,487355743.22425455,-19509479.679358456,-38449524.44520812,9242058.062541902,-210200346.63108367,154185258.17432272,200199726.6693664,-33382356.780154996,43368346.20623081,305837663.3219218,-181418647.3900559,208779553.0078612,-14632198.331157647,-561178193.5388792,0
Sample_GSM1317898,205332745.91964495,98867809.40120801,-79084379.9134159,-84714749.39667244,426477788.84832567,244451814.60398236,20106761.482960965,129491338.39315772,-283701611.3276015,-14715493.323936919,-206245920.18721655,424062888.46470344,19330249.03476868,112189666.2346388,-213554442.29157257,29086634.796352096,-238860829.3536078,150855526.25951666,228333979.95025215,202134213.74662998,75896208.5631217,94793122.48627405,-445598969.46488136,-436771070.68639207,-109376130.012393,205593502.5538203,269139527.9659375,-33494047.653452188,104578510.93930782,-166988015.50914058,150701458.42667717,8437665.12506575,44901473.26366066,54150738.03307263,170107722.2299728,77080826.66202672,109142435.78169313,89874770.3734253,-263765568.8953925,91264516.6777573,-198606288.1609383,170757435.8026422,390603741.92828965,-183171573.97933826,56871530.426497295,4226849.050769312,1287491.155420905,-268666362.0379811,75009577.03801665,252312825.2179437,-96353280.71163699,-293564366.3304122,65620868.72576819,-103899190.9959923,384662281.7828408,401229337.2657278,125516809.90164609,38908291.58022975,21570720.3441844,91306705.77148479,-254555169.49400076,59932239.00211276,-20000534.839087173,-26847070.98302364,36814409.23670748,-44123303.33440512,259610151.31768823,37129548.25869285,-658623168.3286232,-160707202.16141546,-83576039.46748176,-164426391.64272106,158318069.2323379,-702514360.436344,135940603.65716222,79077603.98338103,209717823.99890688,-302385658.9717523,-141460966.76125258,-127281490.39787434,91870945.10186774,83761415.01075578,81258407.82542852,-30098125.63076124,84569850.41056047,-174928465.08938834,497513398.1101021,-13816545.117990274,-43230787.11241527,4848677.947754711,-196592011.2950704,161486447.56119052,205786610.03704333,-32001236.8925208,38174607.713984355,317896684.2266007,-176675163.19427606,198044068.67159933,-9531626.674142035,-563087469.2689157,0
Sample_GSM1317899,207597888.3809307,94633568.02745938,-70197891.78103237,-83937326.76266925,405033576.570279,237549141.08166197,21331033.689102307,128553052.81325309,-288035906.3660692,-15194474.773574507,-203980079.95936203,414218930.10316414,19391357.272485804,105049800.57553266,-209892870.00593916,34364804.66384755,-221117560.27536383,136206713.53720686,228788493.56195718,187350767.3006696,81079466.72972293,95018001.56763218,-440282065.79633576,-415347209.99768937,-92918372.59633894,209512101.77215865,261329748.91300496,-29785510.07336496,94784621.78888358,-165102451.47688752,130766127.6705106,10257583.928054731,44763597.470486596,52198406.09889635,156761749.68406078,86293340.60887083,103982319.06109887,84188405.99774784,-264706754.7970972,85177893.46385862,-205713194.57976815,168125086.23407453,384195273.6793562,-174080115.08889174,53548962.51223422,2803731.920288874,2549276.6969228927,-259833474.72796866,80898979.0016168,235522748.2846075,-89561679.6934286,-285786744.76896113,65686223.36224367,-104377981.28253807,371431095.7715687,381595647.1870293,122062628.00245512,44769084.33743274,13210199.845153276,84765062.30281,-252220374.9800147,46531871.36197991,-20324538.036570393,-29503097.36515532,33635032.07458954,-45043710.600136586,253078651.93906614,33046845.893413026,-651732183.0202042,-167939009.2580288,-73230443.53705332,-152346712.13743463,148705297.3087548,-687070902.6874013,125080381.07397959,76269533.8651334,199527625.41823244,-289114994.0836985,-134107828.05015506,-126928979.19705941,68117581.13000643,79520887.89147954,82096270.53511044,-32518117.881107748,77445077.57430525,-166493967.1715159,480592720.3082318,-16311689.745782318,-38145637.68449142,5292536.400737475,-180272191.38213408,167295539.91579527,193480789.04064676,-27229044.044277284,25769733.250537936,323177303.89054996,-166212948.82813933,190293153.72369018,-2594678.8070166176,-548601760.2849748,0
Sample_GSM1317900,212524604.41574845,98913011.50450905,-89241069.17085539,-93168022.2290679,446506354.69733834,245567778.95494807,21999078.128003214,131239811.58869076,-285757194.618919,-8789376.19659696,-208627119.73069653,442508458.25491846,14814838.696953755,107426357.24834952,-232470804.34603494,26046594.267353464,-243391103.61911237,148719938.7323476,239490558.26685408,205073230.1452538,77808444.30185527,90950757.7617731,-464721328.3294194,-452079325.9802085,-113370996.37747435,210146684.13069883,271954033.38902617,-31409382.862475976,100344493.72652791,-178135463.3003936,148559204.29758182,9014675.79669779,49487041.47155347,59737155.50603882,175268141.02576074,83207294.71116264,112628764.50360672,86278267.05615813,-270912572.0346235,87414623.17669295,-198388160.1108756,172087217.61233434,393907107.4055744,-188480192.87150583,64523385.45170212,4314527.790494184,9131210.497472094,-285929695.5747677,67349100.22633548,269447396.8939458,-91882929.87714095,-299571636.38067096,55057235.46903152,-102015796.5249402,396833633.75837153,426611308.52970093,132071110.07657227,37417657.22712729,29961731.280190013,101863185.75719316,-263162523.9993237,55202046.85461144,-18380537.866842937,-23412850.931562357,36463533.38370291,-39373554.94674164,260939681.7730307,38497575.68611556,-666996766.6852509,-162892605.0228584,-88985283.35138014,-176474323.24699816,168429245.83478907,-725291179.6285341,145475734.87027013,74391434.96233526,219014124.11915758,-312149469.4705767,-150696657.04497784,-135970805.83817378,89731755.69948804,90858258.62185878,86825427.28804854,-32014081.774489097,77790139.08202314,-185193420.9086325,519314665.8714536,-11231591.027844282,-45518119.43330554,1854980.3621498477,-194960186.1992142,165625119.262859,216396960.53969142,-19452931.554046802,33455783.388168108,337360230.9862993,-182116832.65165824,201104257.8697812,-11870900.862779522,-571358564.2213354,0
Sample_GSM1317901,207838915.09816274,102007540.85772659,-81865152.0107004,-89818389.02401638,429816966.46475154,247903152.2683951,18583397.828467127,134642128.21054244,-290863282.1412864,-14783927.077271577,-204113030.6791897,431862215.0540428,21231104.7222945,114277651.24989276,-218533857.66582763,30993574.681627624,-229457187.41934735,147197771.40035117,237133105.94737238,202724515.19016868,81297210.14163049,94688163.44317286,-450388691.24635327,-444778341.3860672,-105129437.25243254,212731046.7973088,275688913.300489,-35997893.64191973,105745680.80455317,-168906087.73438084,147864960.1764353,7223147.02342271,44144957.81698313,50501394.10359472,178676654.2919395,82264609.34349093,107402834.87851356,85068248.50875041,-271264260.33971286,92265173.70682198,-200582830.37631908,179534737.4095228,391527721.9794434,-190483091.59096378,52348951.994181424,6316175.319295952,6735589.484494244,-273209517.7103989,79110588.9131623,257931058.7210878,-95770754.94402173,-292389675.6437112,54961452.60919887,-106829592.39679259,395104978.1000921,414208201.8944403,125168598.42484061,40502910.17675813,23383058.6557114,96438644.45556398,-258247034.722128,53262133.74182889,-19946647.89530644,-26760502.53114333,37156726.88401286,-43470039.1161859,263315565.2386247,36490419.1965265,-671743913.5762206,-170393031.33126813,-88224347.2416938,-169925541.70047238,168348607.14918163,-723138302.3673462,138963688.98432735,82909262.12619074,205615799.80045325,-301673394.4107774,-140048722.06500012,-137662076.9235143,91147832.50554325,85380850.90290856,79181353.97649384,-29873928.483544506,79696750.88106596,-181577472.14534566,503220595.0116848,-18841845.691323377,-39152641.912011415,5783997.964233155,-198731715.52339664,164121942.6870087,208268861.1527584,-30361694.761106253,30310810.94519958,323539199.39429784,-183684316.33140975,203250242.88587654,-12630580.033370104,-570333384.4681603,0
Sample_GSM1317902,241164956.65401244,86195403.86057284,-81251738.7319164,-93725984.73804277,471286247.9997361,248450046.11990228,30231759.097069606,124335425.42665684,-302748997.64289147,-14587161.44710577,-241149073.00990915,482965304.4707546,14481039.776840826,98310054.42620452,-258526956.41482937,25147253.04952063,-279954758.6874596,152125622.44197676,262907390.435958,205259617.22338733,76905558.72298269,103079518.48001453,-506773198.0892795,-448438028.4306225,-107627410.56024203,231091401.38889244,256594573.2683467,-17641835.052485343,85128767.6520686,-191440657.92363092,135780621.78285736,15340138.271541305,68965326.51860744,69371922.9577417,155919642.3725643,98810305.58292319,120805529.5409289,95048499.41312385,-286452232.47186774,90725059.11009665,-230122851.51149866,179963139.66200605,432834075.6386462,-173689397.16598883,82469784.40076512,7790683.596860449,12373748.273180105,-317607540.22998434,70413555.73227462,267673179.60851005,-93343169.66286117,-324587266.9520967,76738799.28297143,-109029875.85481673,402221024.7510872,422610931.27636254,144698435.0478051,54427573.953962356,37723273.27997757,105199979.57693517,-290827851.5356368,55249768.629528776,-24248249.644594528,-27957703.400460448,31912279.772031426,-47230624.9126323,262901354.92342028,47021059.599689536,-692045981.0532551,-172547151.14718583,-81624669.03852835,-174945253.13333467,142086504.73687854,-752501028.765783,137888129.82742518,59153720.533510566,244665601.38861242,-330801859.37012243,-163242636.82678005,-130275989.18405223,59469485.41544711,97753444.90775864,106630192.9769445,-32025341.9863769,82192775.02589692,-182535327.26794222,564214087.647249,2352780.579531187,-55312388.62798896,-11528598.637789078,-174543356.20826897,184999465.13093916,232750772.68900657,-26703749.498746313,17186987.315311812,377834691.7837324,-172647075.30840492,199097435.4563029,-1518365.0795876663,-606699380.8129797,0
Sample_GSM1317903,221624518.96092772,88864970.19921435,-78031149.19889408,-88114610.05303685,453695458.4269715,250964433.18812275,23791306.395211257,127942019.54326655,-290540604.3147984,-13788254.24226958,-229331992.97460285,454638981.9250572,14510673.991126295,104023288.95492682,-238194186.3171212,27245536.189297255,-268522157.1860162,152649149.53575334,243702791.96381664,205131515.56243485,70912670.82648426,101945111.6309539,-480913384.99190146,-438877582.5823826,-117162690.75123295,216788730.64963362,261129978.39163473,-21694589.427867744,94985923.26675892,-182320790.11191592,145283487.4391971,12244929.163524732,59202844.30963099,64599466.924236044,161101223.31050634,88555899.40935168,116660769.82724759,95227985.98346156,-274945829.3033298,90811031.30926076,-217736751.91006348,176192053.83033597,417219550.7767153,-175877544.21984392,70876182.11295287,1640794.085551919,6064465.941717942,-296544223.0822953,69636156.09765905,262229643.90478718,-96376202.90739553,-312660412.33518434,79430451.0389104,-108674827.05679837,393462864.48723185,410714276.5187009,138319967.4734205,48652921.23650959,33192665.202959873,99672168.27344169,-273759733.59703934,62678769.13001121,-23329950.215338156,-27357757.27742577,34980982.62647764,-48209478.300405025,259748962.7591888,44051327.47190487,-681160710.6733358,-161779178.59571758,-81009672.31427248,-170191600.4925088,147835233.3843025,-728023107.1891246,139531727.44255316,68059949.51793176,230846792.27257335,-319442961.75022715,-154235211.3767321,-126815930.51510558,74760033.8415352,91203669.4586697,91247227.05077495,-30419365.599811055,88560826.79902402,-177211267.46588832,536624894.3920879,-4878681.074093542,-50455698.22417987,-4688870.9597663535,-188278476.79825008,174287956.35462758,218931707.7463313,-29909454.09676891,27031605.259127256,350404082.07541686,-173322433.441631,201754454.10768238,-5548373.551322337,-590019982.3648639,0
Sample_GSM1317904,200818025.6715183,98786970.3603913,-75673658.49189527,-85243555.63573073,424658780.60578126,247932539.99410236,18299295.515404213,132859142.81814198,-284167556.7523409,-15328439.195228742,-204691451.41232654,416590679.9437713,19565727.454993643,109592489.26513137,-210622095.6580612,32437921.86561755,-229843259.20112085,143919034.16748694,226788671.02557138,194799651.5547261,73926706.97378325,96152543.73579758,-444065702.1681708,-429027683.0878139,-108567906.90406941,204908459.10777354,262296183.8436618,-36794459.397737645,102508710.51852514,-168565835.36410385,142001961.00152078,6215906.763736879,46937334.90989158,50254719.8272637,172495364.60759038,79076448.73401098,106819324.34387474,84864472.3335436,-264772765.05712956,87543763.34821999,-201134515.19155225,176217943.9949177,386704366.01855946,-178789025.517556,52793365.62269542,-1594604.6323022752,666903.2169116444,-267985413.35255897,73562691.74666014,252210810.11726636,-99872745.67728366,-291023816.99851525,65127607.06039961,-107261499.84743784,384558876.62519026,398246055.2313586,122703108.57209018,41070847.96377903,19940291.320252784,88109196.77669068,-251416044.6883451,57614618.36924611,-21339258.82479139,-25140231.92856574,34629359.074062414,-44951471.0832626,256906160.00208932,38824607.85096519,-663842228.8464828,-163893227.23362464,-81296190.50363232,-162522096.8643658,162536148.6307297,-704847919.6387436,135713579.7464111,78889995.60807432,200248988.50276646,-295833077.2119374,-135586146.15728486,-129186493.45215425,89155332.47710007,79586773.63304856,76089254.37319134,-31245530.13512032,82592105.60199556,-172221516.28987563,491923064.43973494,-21882509.774292227,-35953857.45142872,9762179.36687548,-195087075.1916494,164616580.67958626,200105677.90987343,-30345272.267035373,33066439.52083011,315330591.741543,-176909601.25260344,204319123.2682695,-9716172.709345466,-560040090.2688457,0
Sample_GSM1317905,191866321.17115265,100119644.82838978,-78204635.67716499,-88227008.92630075,427556665.3286131,250805440.73126936,20215179.846699104,135554325.09235513,-274140691.01447874,-9008934.771189587,-201814955.3165856,407687197.1825466,17004914.055862077,107395969.19689183,-207963369.6465268,31970362.057076816,-225295142.24943635,142694670.35354418,224994604.08660245,192938328.1786641,70418176.38844624,92511708.38000019,-442734718.66921616,-426309157.48771274,-116912872.90335493,196373816.0953364,264665194.2065888,-39723182.7774729,104277946.42034112,-169193889.5994192,142878394.8348641,2772481.7843447775,45517775.094954655,52625936.23619716,177515556.59673575,78362522.16068456,107003273.98874895,83789704.37910473,-257312312.8561036,81027442.45034836,-195953624.2578572,175212154.36413422,379981831.5469314,-181942696.97198224,52045909.4876938,-8153378.653649798,-555821.124567714,-266192960.52474666,63795602.10550275,256613715.6788416,-102701000.74143928,-289133917.2719731,64009153.82408676,-108269753.45803678,383108976.2981595,401885001.3326565,124378035.30949163,37231201.80948025,21327188.567051258,90560197.7546374,-244508166.60921595,61913372.445940495,-22052680.08862466,-23292400.72282342,35591621.838579535,-40077423.876947336,253565740.6465123,40204009.04494188,-663324986.5435003,-158538681.77834648,-81171989.86426301,-163867391.65261763,169838172.59437233,-703905276.3054755,138707847.92463082,80967271.65933064,197790216.01818672,-294976704.1601328,-135659455.70234126,-128735281.11553249,95511718.05131653,78495962.67591745,68660933.70599762,-29726082.269771278,81834376.3121902,-173941682.9878654,487606422.96092385,-24186048.246668927,-32175681.394647494,12126916.514471332,-200405554.66639006,160784201.61280033,197262516.32450935,-27771553.380855616,34240633.913843,311252902.89522517,-180229451.93927875,209739620.59364957,-12058194.814645553,-555726247.0288064,0
